noise_pm,sample_id,first_newton_step
30,125,2
30,170,2
200,98,32
50,117,39
150,242,188
200,142,20
150,29,7
30,277,18
150,285,255
30,108,27
50,267,0
30,251,19
100,44,3
10,48,0
150,208,51
30,124,32
100,264,6
200,186,40
10,231,0
50,103,6
100,225,19
150,137,21
10,250,0
10,90,0
50,191,6
200,36,59
50,212,54
10,248,0
150,181,55
30,70,2
100,30,30
100,75,11
10,112,0
10,211,0
50,63,9
10,241,2
30,128,0
10,7,3
10,84,0
200,68,634
50,199,11
100,65,59
10,222,0
50,71,2
50,39,1
100,172,765
200,12,11
150,34,54
150,93,9
150,10,27
100,213,10
150,49,43
200,262,6
50,145,50
100,9,30
10,57,0
10,77,2
100,115,270
200,146,115
30,195,0
200,223,39
100,162,5
100,5,99
100,79,17
10,27,7
50,2,0
100,14,228
100,257,56
200,69,117
50,270,0
100,114,88
100,17,0
10,187,0
50,28,44
10,256,2
50,228,4
50,279,30
50,60,0
100,154,282
100,160,265
30,42,28
100,273,5
10,86,0
30,174,28
50,129,36
100,143,3
10,144,0
150,18,85
100,104,50
100,184,27
30,159,4
50,88,8
100,177,8
100,198,82
10,80,2
10,243,0
30,190,0
50,101,10
50,286,0
30,217,22
30,239,5
10,184,3
10,44,0
30,146,0
100,84,26
150,126,1
50,43,31
10,135,0
200,124,36
30,142,0
30,20,2
150,113,33
30,68,3
50,171,48
50,193,6
50,232,7
100,248,19
10,198,6
50,203,14
10,273,0
100,243,20
10,264,0
30,12,0
200,251,120
10,30,3
100,77,52
150,271,17
150,188,12
30,98,0
50,111,1
100,211,0
10,177,0
150,138,8
100,187,0
30,186,27
50,265,0
100,112,5
10,143,0
10,154,16
10,257,3
200,128,415
50,40,13
30,223,1
200,159,26
100,90,13
30,262,0
30,36,8
10,9,2
10,213,0
200,217,119
30,116,37
50,206,0
100,57,171
200,170,436
100,222,8
150,176,96
200,108,333
100,250,8
10,75,0
50,33,17
50,51,31
10,14,1
100,241,20
100,80,29
150,161,246
150,281,258
10,79,4
50,284,7
50,4,40
150,197,59
30,215,26
30,69,4
50,136,1
100,86,19
50,45,8
10,162,0
100,231,37
30,274,1
50,196,8
100,7,22
100,27,99
10,225,0
10,5,2
10,65,1
100,256,53
10,17,0
50,23,4
100,144,31
10,104,34
10,115,5
50,234,29
50,24,4
10,114,4
50,72,33
150,151,64
150,202,45
200,174,429
50,120,0
100,48,0
10,160,6
200,70,111
50,56,57
150,28,457
30,50,1
10,8,2
150,101,47
200,185,32
30,173,24
100,189,262
30,192,17
30,167,6
200,82,71
50,29,0
100,224,6
10,119,7
150,199,18
150,212,103
200,89,20
30,266,0
150,63,39
150,88,83
200,3,427
200,76,499
10,261,0
30,74,5
30,150,18
50,47,60
150,117,147
150,39,303
30,139,0
10,209,2
100,85,8
150,60,508
200,147,26
150,191,30
200,38,226
100,255,13
10,149,0
200,58,60
100,237,37
50,285,69
10,13,0
200,41,23
10,216,3
50,156,39
100,235,5
10,19,1
200,105,50
50,230,4
50,93,4
200,178,84
200,6,18
100,35,8
50,10,10
50,181,9
50,34,15
50,137,0
10,272,0
10,59,0
150,267,13
100,205,231
100,64,184
10,240,0
200,210,157
30,246,3
50,49,1
10,66,0
200,201,77
50,242,62
10,153,0
50,18,0
30,207,0
100,96,42
10,175,0
10,127,3
150,71,28
50,208,26
100,194,9
150,270,39
10,140,0
30,200,0
150,2,43
200,94,31
150,228,15
30,107,15
100,165,4
200,73,38
30,130,52
100,54,66
10,102,0
150,286,11
50,131,0
50,158,18
100,168,21
100,229,2
10,46,0
100,62,209
10,61,0
200,152,29
10,169,7
150,103,45
